"","short_name","Freq","long_name","TAXID","RANK","TAXPATHSN"
"72","175712.0",52,"GCF_002204455.1_ASM220445v1",837.12,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"105","183958.0",52,"GCF_002754135.1_ASM275413v1",837.4,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"238","271185.1",52,"GCF_002218605.1_ASM221860v1",1601.1,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusagilis_UnclassifiedLactobacillusagilisstrain"
"517","denovo1726.0",52,"GCF_001314265.1_ASM131426v1",1403335,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"589","denovo4382.1",52,"GCF_900157215.1_Strain_3-3",837.17,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"590","denovo4399.0",52,"GCF_000157015.1_ASM15701v1",457424,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis"
"632","denovo5886.0",52,"GCF_900157285.1_13-1",837.5,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"633","denovo5886.1",52,"GCF_900157295.1_11A",837.6,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"710","denovo9496.0",52,"GCF_002091975.1_ASM209197v1",1582.1,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacilluscasei_UnclassifiedLactobacilluscaseistrain"
"78","178274.0",51,"GCF_900157275.1_84-3",837.11,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"311","332732.1",51,"GCF_000297735.1_Bact_frag_HMW_615_V1",1073387,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis"
"325","348376.0",51,"GCF_000225745.1_Dorea_form_4_6_53AFAA_V1",742765,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_Doreaformicigenerans"
"387","4447072.0",51,"GCF_000157075.2_Bact_sp_9_1_42FAA_V2",457395,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_9_1_42FAA_UnclassifiedBacteroidessp_9_1_42FAAstrain"
"489","denovo12438.0",51,"GCF_002117305.1_ASM211730v1",1590.6,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusplantarum_UnclassifiedLactobacillusplantarumstrain"
"607","denovo4995.0",51,"GCF_001704315.1_ASM170431v1",1590.1,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusplantarum_UnclassifiedLactobacillusplantarumstrain"
"637","denovo6242.0",51,"GCF_000467835.1_ASM46783v1",1227271,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"716","denovo9644.0",51,"GCF_000503975.1_SJD2",1211023,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"717","denovo9703.0",51,"GCF_002754055.1_ASM275405v1",837.18,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"196","262634.0",50,"GCF_001611075.1_ASM161107v1",51663,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Pediococcus_Pediococcusdamnosus_UnclassifiedPediococcusdamnosusstrain"
"357","4351214.0",50,"GCF_000209425.1_Lach_bact_6_1_63FAA_V1",658083,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium6_1_63FAA_UnclassifiedLachnospiraceaebacterium6_1_63FAAstrain"
"362","4378081.0",50,"GCF_000403175.1_Bact_unif_dnLKV2_V1",1235787,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesuniformis"
"630","denovo5848.0",50,"GCF_002753975.1_ASM275397v1",837.1,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"715","denovo9575.0",50,"GCF_001715615.1_ASM171561v1",1590,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusplantarum_UnclassifiedLactobacillusplantarumstrain"
"9","1109178.0",49,"GCF_000424345.1_ASM42434v1",1280698,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Dorea_Dorealongicatena"
"50","169845.0",49,"GCF_000403255.1_Lach_bact_3-1_V1",397288,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnospiraceaebacterium3-1_UnclassifiedLachnospiraceaebacterium3-1strain"
"161","209377.0",49,"GCF_900157235.1_YH522",837.21,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"172","258485.0",49,"GCF_002753955.1_ASM275395v1",837.23,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"237","271185.0",49,"GCF_002095655.1_ASM209565v1",152331,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusparabuchneri_UnclassifiedLactobacillusparabuchneristrain"
"300","324894.1",49,"GCF_002549945.1_ASM254994v1",853.2,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacteriumprausnitzii_UnclassifiedFaecalibacteriumprausnitziistrain"
"347","4304475.0",49,"GCF_000273135.1_Bact_frag_CL05T12C13_V1",997881,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesfragilis"
"503","denovo13122.0",49,"GCF_001981565.1_ASM198156v1",1590.4,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusplantarum_UnclassifiedLactobacillusplantarumstrain"
"509","denovo1402.0",49,"GCF_000769475.1_ASM76947v1",111105,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgulae_UnclassifiedPorphyromonasgulaestrain"
"514","denovo1685.0",49,"GCF_002278095.1_ASM227809v1",888027,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusdelbrueckii"
"544","denovo256.1",49,"GCF_000162275.1_ASM16227v1",563193,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidessp_D13_UnclassifiedParabacteroidessp_D13strain"
"571","denovo3780.0",49,"GCF_001814855.1_ASM181485v1",1739496,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellasp_HMSC069G02_UnclassifiedPrevotellasp_HMSC069G02strain"
"576","denovo3940.0",49,"GCF_002763745.1_ASM276374v1",28131.3,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaintermedia_UnclassifiedPrevotellaintermediastrain"
"612","denovo5222.0",49,"GCF_000378065.1_ASM37806v1",1122972,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgulae"
"626","denovo5713.0",49,"GCF_001580105.1_ASM158010v1",246787,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidescellulosilyticus_UnclassifiedBacteroidescellulosilyticusstrain"
"143","1931575.0",48,"GCF_000371545.1_Clos_clos_90A6_V1",999406,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"155","197644.0",48,"GCF_900157245.1_15-9",837,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"173","258485.1",48,"GCF_900157345.1_AFR-5B1",837.24,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"216","267406.0",48,"GCF_000411335.1_Copr_sp_HPP0074_V1",1078090,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Coprococcus_Coprococcussp_HPP0074_UnclassifiedCoprococcussp_HPP0074strain"
"267","3016478.0",48,"GCF_000238635.1_Subdol_sp_4_3_54A2FAA_V1",665956,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Subdoligranulum_Subdoligranulumsp_4_3_54A2FAA_UnclassifiedSubdoligranulumsp_4_3_54A2FAAstrain"
"286","318503.0",48,"GCF_900110805.1_IMG-taxon_2593339242_annotated_assembly",1520809,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_TB_UnclassifiedButyrivibriosp_TBstrain"
"363","4378081.1",48,"GCF_000158515.2_Bacteroides_sp_4_3_47FAA_V2",457394,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_4_3_47FAA_UnclassifiedBacteroidessp_4_3_47FAAstrain"
"462","denovo1065.0",48,"GCF_000424485.1_ASM42448v1",1280681,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_WCD2001_UnclassifiedButyrivibriosp_WCD2001strain"
"463","denovo10679.0",48,"GCF_002206105.1_SJD11",1297566,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"481","denovo11906.0",48,"GCF_000371685.1_Clos_bolt_90B3_V1",997895,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]bolteae"
"493","denovo12645.0",48,"GCF_000225345.1_ASM22534v1",585394,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_Roseburiahominis"
"529","denovo2183.0",48,"GCF_001435835.1_ASM143583v1",1423735,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusconcavus"
"541","denovo2529.0",48,"GCF_000424165.1_ASM42416v1",1280673,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_AE3006_UnclassifiedButyrivibriosp_AE3006strain"
"565","denovo3498.0",48,"GCF_001263815.1_ASM126381v1",837.2,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis_UnclassifiedPorphyromonasgingivalisstrain"
"681","denovo8312.0",48,"GCF_000424385.1_ASM42438v1",1280680,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_LC3010_UnclassifiedButyrivibriosp_LC3010strain"
"685","denovo8413.0",48,"GCF_002763845.1_ASM276384v1",28131.2,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaintermedia_UnclassifiedPrevotellaintermediastrain"
"26","14094.0",47,"GCF_000156535.1_ASM15653v1",536231,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Roseburia_Roseburiaintestinalis"
"133","191811.0",47,"GCF_900100685.1_IMG-taxon_2654588145_annotated_assembly",1531.2,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme_Unclassified[Clostridium]clostridioformestrain"
"295","3211875.0",47,"GCF_000218365.1_Bacteroides_sp_1_1_30_V1",457387,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_1_1_30_UnclassifiedBacteroidessp_1_1_30strain"
"369","4381553.1",47,"GCF_000157095.2_Bacteroides_sp_D1_V2",556258,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_D1_UnclassifiedBacteroidessp_D1strain"
"396","4464113.0",47,"GCF_000371605.1_Clos_clos_90A1_V1",999403,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"452","denovo1032.0",47,"GCF_000398925.1_Buty_pull_1_20_V1",1203606,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Butyricicoccus_Butyricicoccuspullicaecorum"
"461","denovo1064.0",47,"GCF_900049235.1_C.symbiosum_MappedAssembly",1512,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]symbiosum_Unclassified[Clostridium]symbiosumstrain"
"553","denovo2956.0",47,"GCF_000185585.1_ASM18558v1",457393,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_4_1_36_UnclassifiedBacteroidessp_4_1_36strain"
"579","denovo404.0",47,"GCF_001922325.1_ASM192232v1",1254,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Pediococcus_Pediococcusacidilactici_UnclassifiedPediococcusacidilacticistrain"
"580","denovo4069.0",47,"GCF_000701985.1_ASM70198v1",1410611,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_WCE2006_UnclassifiedButyrivibriosp_WCE2006strain"
"272","305012.0",46,"GCF_000424145.1_ASM42414v1",1280672,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriosp_AC2005_UnclassifiedButyrivibriosp_AC2005strain"
"436","833816.0",46,"GCF_000701625.1_ASM70162v1",1408324,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_LachnospiraceaebacteriumMC2017_UnclassifiedLachnospiraceaebacteriumMC2017strain"
"471","denovo10990.0",46,"GCF_000010505.1_ASM1050v1",431947,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"475","denovo11208.0",46,"GCF_002763575.1_ASM276357v1",28131,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellaintermedia_UnclassifiedPrevotellaintermediastrain"
"477","denovo11386.0",46,"GCF_002218965.1_ASM221896v1",47770,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacilluscrispatus_UnclassifiedLactobacilluscrispatusstrain"
"486","denovo12307.0",46,"GCF_900096715.1_TFUB22",28112.2,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Tannerella_Tannerellaforsythia_UnclassifiedTannerellaforsythiastrain"
"522","denovo1842.0",46,"GCF_000273315.1_Bact_xyla_CL03T12C04_V1",997892,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesxylanisolvens"
"673","denovo8025.0",46,"GCF_000969825.1_Para_gord_MS-1_V1",1203610,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidesgordonii"
"691","denovo8798.0",46,"GCF_000371525.1_Clos_clos_90A7_V1",999407,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"3","110016.0",45,"GCF_000166035.1_ASM16603v1",748224,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Faecalibacterium_Faecalibacteriumprausnitzii"
"123","189585.0",45,"GCF_900108895.1_IMG-taxon_2654588144_annotated_assembly",1531.1,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme_Unclassified[Clostridium]clostridioformestrain"
"208","264225.0",45,"GCF_900113155.1_IMG-taxon_2593339147_annotated_assembly",1531,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme_Unclassified[Clostridium]clostridioformestrain"
"239","271230.0",45,"GCF_000242235.1_Lach_bact_ACC2_V1",796942,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Stomatobaculum_Stomatobaculumlongum_UnclassifiedStomatobaculumlongumstrain"
"261","293580.0",45,"GCF_000423985.1_ASM42398v1",1280687,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_Butyrivibriofibrisolvens"
"360","4365130.0",45,"GCF_001078555.1_Parabacteroides_sp_D26_V1",658662,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Tannerellaceae_Parabacteroides_Parabacteroidessp_D26_UnclassifiedParabacteroidessp_D26strain"
"366","4379247.0",45,"GCF_002179515.1_ASM217951v1",1580,"strain","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae_Lactobacillus_Lactobacillusbrevis_UnclassifiedLactobacillusbrevisstrain"
"473","denovo11165.0",45,"GCF_001546595.1_ASM154659v1",28128,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_Prevotellacorporis_UnclassifiedPrevotellacorporisstrain"
"479","denovo11903.0",45,"GCF_001078445.1_Clos_clos_WAL_7855_v11",742736,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]clostridioforme"
"505","denovo13303.0",45,"GCF_000371645.1_Clos_bolt_90B8_V1",997897,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Lachnoclostridium_[Clostridium]bolteae"
"578","denovo4013.0",45,"GCF_900129135.1_IMG-taxon_2585428044_annotated_assembly",1122155,"strain","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Lactonifactor_Lactonifactorlongoviformis"
"588","denovo4382.0",45,"GCF_000482365.1_ASM48236v1",1122976,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasuenonis"
"672","denovo8002.0",45,"GCF_000007585.1_ASM758v1",242619,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_Porphyromonasgingivalis"
"707","denovo9337.0",45,"GCF_000273055.1_Bact_dore_CL02T12C06_V1",997876,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidesdorei"
"12","1135084.0",44,"GCF_000186105.1_Bacteroides_sp_3_1_40A_V1",469593,"strain","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroidessp_3_1_40A_UnclassifiedBacteroidessp_3_1_40Astrain"
