genome_ID	OTU	NCBI_ID	novelty_category
179838.0	375288	457388	new_strain
denovo4917.0	375288	1944636	new_strain
828435.0	128827	556270	new_strain
denovo9553.0	186828	1130080	new_strain
denovo10694.0	1283313	626522	new_strain
denovo10581.0	838	537011	new_strain
4442899.0	186803	1526	new_strain
denovo2181.1	186828	426701	new_strain
denovo2181.0	186828	82803	new_strain
194950.0	186803	1235793	new_strain
318732.1	1649459	999412	new_strain
denovo265.0	838	1852370	new_strain
1106006.0	541000	1264	new_strain
denovo8373.0	171551	837	new_strain
231021.0	541000	1650663	new_strain
1931575.0	186803	999406	new_strain
133719.1	541000	1572656	new_strain
3265889.0	33042	1078091	new_strain
3265889.1	33042	411474	new_strain
185222.0	1730	1736	new_strain
47365.0	1578	1033837	new_strain
denovo1739.0	195950	1307832	new_strain
denovo11206.0	838	575611	new_strain
295590.0	1578	1606	new_strain
denovo8798.0	186803	999407	new_strain
denovo11903.0	186803	742736	new_strain
denovo11903.1	186803	1226324	new_strain
269378.0	1263	853	new_strain
denovo11716.0	186828	1339243	new_strain
188610.0	572511	411459	new_strain
denovo1773.0	1279388	1410657	new_strain
denovo8413.0	838	28131	new_strain
392918.0	541000	1045012	new_strain
190114.0	1263	1410638	new_strain
denovo3630.0	186803	1679721	new_strain
denovo9521.0	838	553174	new_strain
260456.0	248744	168384	new_strain
381666.0	213483	959	new_strain
denovo663.1	171551	837	new_strain
denovo663.0	171551	1127696	new_strain
228140.0	1730	53442	new_strain
denovo10305.0	186828	140314	new_strain
4339832.1	186803	1121132	new_strain
denovo9575.0	1578	1590	new_strain
denovo6356.0	31980	1120918	new_strain
denovo4689.0	186803	29364	new_strain
denovo10769.0	816	817	new_strain
182061.0	459786	1226323	new_strain
denovo4967.0	128827	450746	new_strain
denovo7933.1	1263	1841867	new_strain
denovo7933.0	1263	552398	new_strain
denovo7302.0	186803	1321782	new_strain
170926.0	44748	1123282	new_strain
135956.0	1578	1582	new_strain
259846.0	186803	1855302	new_strain
188299.0	186803	1917876	new_strain
262642.0	140625	1122142	new_strain
denovo4276.0	1348911	1349822	new_strain
162576.0	186803	518636	new_strain
denovo12645.0	186803	585394	new_strain
315496.1	186803	1280691	new_strain
319219.0	186803	358743	new_strain
denovo273.0	1578	637971	new_strain
191251.0	375288	469591	new_strain
denovo2795.0	186806	1658112	new_strain
denovo717.1	1578	1596	new_strain
denovo8298.0	1263	1138384	new_strain
denovo8298.1	1263	471875	new_strain
denovo3118.0	1578	568704	new_strain
denovo9942.1	128827	1410657	new_strain
denovo9942.0	128827	1702221	new_strain
1678333.0	186803	1073375	new_strain
1678333.1	186803	1280686	new_strain
324985.0	186803	1280667	new_strain
184966.0	186803	1796616	new_strain
denovo9305.0	577309	762968	new_strain
268084.1	186803	997893	new_strain
180869.0	1279388	1630	new_strain
310407.0	830	1280703	new_strain
denovo8441.0	186803	1280694	new_strain
262634.0	1578	51663	new_strain
177917.0	171551	1030843	new_strain
609589.0	541000	1341156	new_strain
192316.0	171551	322095	new_strain
192316.1	171551	837	new_strain
354971.0	1578	1589	new_strain
264155.1	186804	1261	new_strain
264155.0	186804	1776391	new_strain
355440.0	186803	1408306	new_strain
167420.0	128827	1903263	new_strain
1756274.0	1350	1157431	new_strain
163997.0	186803	1798168	new_strain
denovo7590.0	189330	658665	new_strain
4378081.1	816	457394	new_strain
denovo4995.1	1578	1423772	new_strain
denovo10808.0	838	997353	new_strain
denovo8808.1	46205	1200721	new_strain
denovo8808.0	46205	411902	new_strain
3957916.0	186803	1703332	new_strain
3486634.0	816	1078089	new_strain
denovo9337.0	816	997876	new_strain
831301.0	1279388	1630	new_strain
577294.0	375288	999419	new_strain
179464.1	171551	1297564	new_strain
179464.0	171551	1855396	new_strain
denovo10319.0	375288	999421	new_strain
229459.0	171003	1121264	new_strain
denovo7014.0	838	1917878	new_strain
4379247.0	1578	1580	new_strain
denovo11146.0	1193324	889453	new_strain
denovo4456.0	838	1197728	new_strain
denovo4456.1	838	77095	new_strain
denovo5795.0	82373	1200557	new_strain
348376.1	189330	411462	new_strain
3377773.0	128827	717960	new_strain
190673.0	171551	837	new_strain
denovo1211.0	239934	239935	new_strain
175613.0	186803	1761780	new_strain
354913.0	1578	1218508	new_strain
denovo2417.0	35829	509191	new_strain
312322.0	171551	111105	new_strain
1109178.1	189330	1211818	new_strain
265912.0	186803	742733	new_strain
336277.0	186803	500632	new_strain
denovo4266.0	577309	762982	new_strain
839200.0	186803	1121345	new_strain
259511.0	186803	999405	new_strain
denovo3289.1	171551	1739529	new_strain
denovo1959.0	375288	1917887	new_strain
4390319.1	816	997885	new_strain
176853.0	186803	1410610	new_strain
denovo6472.0	1193324	889453	new_strain
299171.1	186803	1520812	new_strain
299171.0	186803	537007	new_strain
271602.0	186803	1527	new_strain
259087.0	186803	1520825	new_strain
denovo2313.0	838	1122984	new_strain
4256470.0	816	997891	new_strain
178546.0	171551	1227272	new_strain
229455.1	541000	1346611	new_strain
229455.0	541000	394503	new_strain
171232.0	1578	1226333	new_strain
178274.0	171551	837	new_strain
2645488.0	128827	1121333	new_strain
187223.0	541000	697329	new_strain
276484.0	816	820	new_strain
denovo4860.0	1263	290052	new_strain
174805.0	171551	1855399	new_strain
denovo7720.0	171551	1122974	new_strain
denovo4995.0	1578	1590	new_strain
308734.0	541000	1871018	new_strain
233991.1	186803	553973	new_strain
233991.0	186803	649757	new_strain
denovo3535.0	838	575614	new_strain
228785.0	1491775	1120990	new_strain
173916.0	186803	1855376	new_strain
denovo532.0	1578	1598	new_strain
129394.0	830	1410650	new_strain
denovo3289.0	171551	1297567	new_strain
190547.0	186803	742735	new_strain
230268.0	541000	411471	new_strain
375106.0	541000	1855400	new_strain
837859.0	1263	1408437	new_strain
837859.1	1263	1944639	new_strain
187028.0	171551	36874	new_strain
4447072.0	816	457395	new_strain
196664.1	816	997888	new_strain
4413214.0	165696	1298855	new_strain
851733.0	1578	1714682	new_strain
263834.0	186803	679200	new_strain
263834.1	186803	467210	new_strain
1889556.0	816	46506	new_strain
262326.0	186803	2002841	new_strain
denovo2465.0	239934	1131336	new_strain
denovo12065.1	41295	137721	new_strain
4455308.0	186803	658655	new_strain
denovo159.0	239934	239935	new_strain
denovo5985.0	375288	1235789	new_strain
denovo8158.0	28050	1410662	new_strain
denovo6995.0	186803	1898203	new_strain
denovo6995.1	186803	1410632	new_strain
260756.0	186803	658087	new_strain
191948.0	186803	1408321	new_strain
306306.0	1578	797515	new_strain
denovo3878.0	171551	36874	new_strain
342685.0	213483	765869	new_strain
denovo4118.1	375288	435591	new_strain
denovo4118.0	375288	1037355	new_strain
4312974.0	1279	1280	new_strain
270448.1	244127	445972	new_strain
270448.0	244127	1235835	new_strain
4397402.0	1578	1590	new_strain
denovo1685.1	1578	1587	new_strain
denovo1685.0	1578	888027	new_strain
319134.0	186803	1855374	new_strain
4327881.0	186803	1745713	new_strain
denovo389.0	1578	1194971	new_strain
835900.0	283168	742817	new_strain
270984.0	171551	1720317	new_strain
denovo12532.0	872	1234378	new_strain
denovo9105.0	375288	1750560	new_strain
denovo8150.0	195950	203275	new_strain
denovo11993.0	838	1122987	new_strain
denovo4458.0	283168	28118	new_strain
denovo8255.1	1578	633699	new_strain
denovo4382.0	171551	1122976	new_strain
4339832.0	186803	1282887	new_strain
denovo8255.0	1578	1340495	new_strain
174358.0	186803	1280695	new_strain
denovo1832.0	816	1073386	new_strain
4439360.0	816	817	new_strain
321902.0	186803	1410621	new_strain
4340358.0	816	817	new_strain
denovo4507.0	1578	1590	new_strain
180362.0	1432051	1432052	new_strain
189840.0	541000	411485	new_strain
denovo5877.0	35832	693988	new_strain
267536.0	667112	1122184	new_strain
455671.0	1357	1360	new_strain
182712.1	186803	1496722	new_strain
182712.0	186803	665950	new_strain
3919797.0	186803	999404	new_strain
168517.0	186803	796943	new_strain
denovo2956.0	816	457393	new_strain
179616.0	195950	28112	new_strain
26608.0	1578	1434654	new_strain
278098.0	541000	1121335	new_strain
4471135.0	186803	642492	new_strain
denovo7143.0	41295	1122607	new_strain
189789.0	186803	1855342	new_strain
denovo11386.0	1578	47770	new_strain
187400.0	541000	537013	new_strain
187400.1	541000	1520815	new_strain
182764.0	1578	1599	new_strain
denovo9644.0	171551	1211023	new_strain
denovo5363.0	186803	658086	new_strain
denovo5363.1	186803	33035	new_strain
999989.0	838	1235811	new_strain
318503.0	186803	1520809	new_strain
318503.1	186803	1410623	new_strain
332732.0	816	329854	new_strain
332732.1	816	1073387	new_strain
675509.0	209	592205	new_strain
denovo5086.0	1263	853	new_strain
denovo9564.0	816	1297750	new_strain
denovo3138.0	1253	51663	new_strain
1513771.0	1578	1423777	new_strain
denovo12129.0	375288	658661	new_strain
denovo9794.0	946234	742738	new_strain
1135084.0	816	469593	new_strain
denovo1842.0	816	997892	new_strain
325850.1	41295	69960	new_strain
325850.0	41295	95605	new_strain
denovo4408.0	1473205	1034345	new_strain
373939.0	84107	1907654	new_strain
4304475.0	816	997881	new_strain
180535.0	541000	853	new_strain
522433.0	541000	641112	new_strain
denovo8186.0	838	1122985	new_strain
164237.0	186803	1907659	new_strain
4394913.0	1612198	925409	new_strain
782953.0	543	562	new_strain
132929.0	186803	1871021	new_strain
167509.0	459786	1235797	new_strain
167509.1	459786	1007096	new_strain
263518.0	898	52560	new_strain
denovo3630.1	186803	1658108	new_strain
4401580.0	816	469592	new_strain
denovo5222.0	171551	1122972	new_strain
denovo5222.1	171551	837	new_strain
548775.0	171551	1642646	new_strain
denovo8847.0	946234	292800	new_strain
833816.0	186803	1408324	new_strain
denovo420.0	838	868129	new_strain
denovo717.0	1578	1203076	new_strain
175529.1	186803	460384	new_strain
175529.0	186803	1280684	new_strain
denovo10679.0	171551	1297566	new_strain
181717.0	186803	43305	new_strain
137043.0	1578	1590	new_strain
665703.0	990721	1851429	new_strain
324894.1	1263	853	new_strain
denovo4069.0	830	1410611	new_strain
264225.1	186803	742740	new_strain
264225.0	186803	1531	new_strain
1871227.0	128827	1313290	new_strain
denovo7794.0	816	484018	new_strain
denovo7794.1	816	821	new_strain
denovo5088.0	816	1077285	new_strain
denovo3050.0	171551	1321823	new_strain
1105328.0	186803	1898203	new_strain
denovo8025.0	375288	1203610	new_strain
denovo404.0	1253	1254	new_strain
272949.1	186803	1280678	new_strain
272949.0	186803	658082	new_strain
259993.0	1578	440497	new_strain
denovo2227.0	838	1122992	new_strain
denovo2227.1	838	1739459	new_strain
188548.0	186803	1235799	new_strain
denovo13136.0	838	767031	new_strain
4443094.1	541000	1073376	new_strain
4417539.0	541000	1410617	new_strain
denovo10393.1	838	28136	new_strain
4405128.0	213483	264462	new_strain
822112.0	174951	94132	new_strain
193680.1	186803	1410660	new_strain
192222.0	838	839	new_strain
174824.0	186803	877421	new_strain
315496.0	186803	1121296	new_strain
181719.1	816	1121096	new_strain
181719.0	816	295405	new_strain
262917.0	186803	1121115	new_strain
180944.0	830	1280671	new_strain
322900.0	186803	649756	new_strain
322900.1	186803	1410626	new_strain
denovo10471.1	171551	837	new_strain
denovo10471.0	171551	393921	new_strain
denovo7784.0	186828	638301	new_strain
denovo1064.0	186803	1512	new_strain
180879.0	541000	1121334	new_strain
180731.0	375288	999417	new_strain
326662.0	816	483217	new_strain
262633.0	186803	1520808	new_strain
134065.1	186803	592026	new_strain
183606.0	186803	1619234	new_strain
denovo2511.0	186803	608534	new_strain
318732.0	1649459	566550	new_strain
134065.0	186803	1408305	new_strain
denovo5579.0	171551	1122973	new_strain
denovo13345.0	84107	2018038	new_strain
denovo3777.0	1578	1624	new_strain
denovo10697.1	838	1035197	new_strain
191325.0	186803	997894	new_strain
181344.0	186803	1520821	new_strain
334395.0	990721	626937	new_strain
262326.1	186803	1408319	new_strain
267123.0	84107	1870987	new_strain
187233.0	1578	1423822	new_strain
4351214.0	186803	658083	new_strain
denovo10393.0	838	563031	new_strain
330296.0	830	831	new_strain
denovo12924.0	195950	665949	new_strain
180972.0	830	1280664	new_strain
1107652.0	239759	1033731	new_strain
730939.1	186803	1520802	new_strain
730939.0	186803	658656	new_strain
4387250.0	816	1121101	new_strain
463794.1	1578	1587	new_strain
463794.0	1578	392416	new_strain
245324.1	580024	1121866	new_strain
denovo4594.1	31977	907	new_strain
denovo4594.0	31977	1588748	new_strain
denovo10718.0	838	77095	new_strain
168984.0	186803	1280665	new_strain
318764.0	1578	1434656	new_strain
270730.0	186803	689781	new_strain
649107.1	186803	1121322	new_strain
649107.0	186803	537007	new_strain
831178.0	85413	1736583	new_strain
261114.0	177971	626523	new_strain
263828.1	186803	991789	new_strain
263828.0	186803	1408322	new_strain
3029968.0	186803	1520811	new_strain
denovo13303.0	186803	997897	new_strain
344525.0	816	1235785	new_strain
denovo8803.0	133925	1852386	new_strain
262104.0	186803	411472	new_strain
358007.1	541000	1123075	new_strain
358007.0	541000	1852383	new_strain
1107303.0	186803	476272	new_strain
4306262.0	239934	239935	new_strain
262102.0	397864	742726	new_strain
133892.0	1578	1408186	new_strain
denovo4013.0	420345	1122155	new_strain
259983.0	186803	1410622	new_strain
166664.0	186803	515619	new_strain
1111328.0	109326	1120998	new_strain
denovo852.0	186803	185008	new_strain
10512.0	872	363253	new_strain
267042.0	541000	1520819	new_strain
267406.1	33042	470146	new_strain
267406.0	33042	1078090	new_strain
denovo4306.0	1495038	1150474	new_strain
denovo1369.0	838	28125	new_strain
189585.0	186803	1531	new_strain
denovo6433.0	375288	1235803	new_strain
293580.0	830	1280687	new_strain
261277.0	186803	1280676	new_strain
10518.0	872	1121448	new_strain
191318.0	186803	357809	new_strain
262258.1	541000	1095771	new_strain
262258.0	541000	1265	new_strain
1684221.0	872	596152	new_strain
195123.0	375288	537006	new_strain
136633.0	186803	1520823	new_strain
2897325.0	872	876	new_strain
320224.0	541000	853	new_strain
179343.0	171551	1562970	new_strain
denovo1324.0	239759	1339253	new_strain
210073.0	541000	1627893	new_strain
164664.0	1578	880633	new_strain
denovo5303.0	1578	28038	new_strain
4315396.0	2740	2741	new_strain
denovo7309.0	186828	1449336	new_strain
denovo9767.0	186803	1280682	new_strain
denovo5418.0	838	1410613	new_strain
denovo12438.0	1578	1590	new_strain
denovo274.0	186803	742734	new_strain
denovo1719.0	816	411479	new_strain
denovo8733.0	1578	525341	new_strain
2883968.1	541000	1834198	new_strain
2883968.0	541000	1410672	new_strain
denovo7482.0	816	469587	new_strain
denovo8991.0	816	665953	new_strain
184451.0	186803	1408320	new_strain
4365109.0	186803	208479	new_strain
4402042.0	1486726	398512	new_strain
4334624.0	186803	411468	new_strain
181348.0	653683	1120996	new_strain
1871.0	248038	1379858	new_strain
denovo4376.1	816	1907658	new_strain
denovo4376.0	816	997875	new_strain
denovo2533.0	558415	385682	new_strain
4447072.1	816	547042	new_strain
4329571.0	375288	927665	new_strain
169106.0	1578	1601	new_strain
denovo6968.0	816	585543	new_strain
denovo8828.0	186803	665951	new_strain
denovo2529.0	46205	1280673	new_strain
denovo256.1	375288	563193	new_strain
denovo256.0	375288	2025876	new_strain
denovo4382.1	171551	837	new_strain
denovo329.0	1283313	679199	new_strain
4469576.0	186803	1121323	new_strain
denovo9179.0	459786	693746	new_strain
573135.0	374	722472	new_strain
denovo8312.0	830	1280680	new_strain
351309.0	186803	37658	new_strain
denovo2179.0	816	997883	new_strain
denovo7759.0	239934	349741	new_strain
denovo6222.0	1263	1352374	new_strain
194878.0	830	185008	new_strain
263687.0	186803	1520801	new_strain
denovo4974.0	186828	258723	new_strain
denovo12746.0	186803	1235792	new_strain
denovo11257.0	516086	1121289	new_strain
178480.0	541000	244362	new_strain
175758.0	830	877422	new_strain
denovo10014.0	186803	515622	new_strain
denovo9703.0	171551	837	new_strain
271185.0	1578	152331	new_strain
184925.0	186803	1410628	new_strain
260752.0	186803	999410	new_strain
denovo7195.0	816	469586	new_strain
175706.0	171551	1227269	new_strain
denovo11906.0	186803	997895	new_strain
denovo5786.0	838	702438	new_strain
176952.0	186803	1410616	new_strain
313431.0	1263	1265	new_strain
3319464.0	209	1159058	new_strain
271185.1	1578	1601	new_strain
268844.0	186803	1520804	new_strain
268844.1	186803	1798186	new_strain
197875.0	186803	742723	new_strain
denovo725.0	171551	1321822	new_strain
4336940.0	541000	1265	new_strain
999986.1	838	1127699	new_strain
4378081.0	816	1235787	new_strain
269125.1	1578	1624	new_strain
269125.0	1578	568703	new_strain
175333.0	171551	837	new_strain
192684.0	816	821	new_strain
denovo4463.0	1578	47715	new_strain
289627.0	1578	1624	new_strain
340960.0	1578	1423747	new_strain
denovo3683.0	239759	1499682	new_strain
261315.0	186803	1520820	new_strain
261315.1	186803	1520822	new_strain
305012.0	186803	1280672	new_strain
denovo10990.0	171551	431947	new_strain
denovo1874.0	816	226186	new_strain
denovo1726.0	171551	1403335	new_strain
327900.0	541000	745368	new_strain
denovo2819.1	838	1761889	new_strain
denovo2819.0	838	1122986	new_strain
190026.0	1471398	1484053	new_strain
denovo12698.0	239934	239935	new_strain
denovo9308.0	909656	1204719	new_strain
denovo1457.0	375288	999420	new_strain
4407703.0	100883	518637	new_strain
187962.0	1578	1597	new_strain
291950.0	186803	1737424	new_strain
192673.0	186803	1834196	new_strain
340139.0	186803	397287	new_strain
3327894.0	816	411476	new_strain
denovo7795.0	838	246198	new_strain
191811.0	186803	1531	new_strain
4449984.1	1279388	1630	new_strain
4449984.0	1279388	1410659	new_strain
denovo12307.0	195950	28112	new_strain
268084.0	186803	658088	new_strain
denovo6242.0	171551	1227271	new_strain
denovo9316.0	816	997887	new_strain
193680.0	186803	1532	new_strain
1109559.0	186803	658089	new_strain
619817.0	186803	742741	new_strain
denovo2280.0	1578	525325	new_strain
45363.0	128827	1852366	new_strain
171322.0	990721	626937	new_strain
1108599.0	35832	1408428	new_strain
denovo12694.1	1263	853	new_strain
denovo5065.0	1578	1423794	new_strain
denovo9496.0	1578	1582	new_strain
denovo4607.0	186803	1200747	new_strain
3211875.0	816	457387	new_strain
denovo7705.0	46123	592010	new_strain
324894.0	1263	1720300	new_strain
331878.0	186803	1410630	new_strain
268720.0	541000	428125	new_strain
denovo5602.0	35832	563192	new_strain
denovo527.0	816	1121098	new_strain
denovo527.1	816	1739298	new_strain
339549.1	171551	111105	new_strain
273737.0	258514	258515	new_strain
denovo2073.0	1578	303541	new_strain
3154070.0	816	997884	new_strain
denovo12977.0	541000	411483	new_strain
4381553.0	816	997873	new_strain
4381553.1	816	556258	new_strain
denovo7466.0	838	1236518	new_strain
637934.0	390805	1424294	new_strain
denovo4635.0	1578	1624	new_strain
denovo4615.0	142587	142588	new_strain
188785.0	415014	415015	new_strain
344828.0	84107	700015	new_strain
3563235.0	816	28116	new_strain
166911.0	1578	1604	new_strain
348376.0	189330	742765	new_strain
727945.0	264995	445971	new_strain
405780.0	541000	663278	new_strain
4372003.0	375288	1078087	new_strain
4380294.0	186803	742732	new_strain
196664.0	816	469589	new_strain
175712.0	171551	837	new_strain
162668.0	1578	1226334	new_strain
denovo2990.1	239759	1033732	new_strain
denovo2990.0	239759	1816676	new_strain
181961.0	1263	1122930	new_strain
194787.0	186803	936595	new_strain
denovo944.1	838	1280705	new_strain
denovo1032.1	580596	501571	new_strain
denovo1032.0	580596	1203606	new_strain
denovo944.0	838	1520830	new_strain
denovo7784.1	186828	1725361	new_strain
70830.1	1279	1280	new_strain
70830.0	1279	1409467	new_strain
193418.0	249523	1120953	new_strain
193418.1	249523	634436	new_strain
4354103.0	1578	89059	new_strain
4444771.1	128827	1211844	new_strain
denovo9081.0	1279388	1410658	new_strain
270030.0	541000	1265	new_strain
denovo12326.0	239934	1679444	new_strain
denovo8648.0	128827	650150	new_strain
245324.0	580024	1235794	new_strain
460611.0	830	1280699	new_strain
173965.0	84107	521003	new_strain
denovo4538.0	375288	1871013	new_strain
denovo3222.0	1578	1423721	new_strain
209377.0	171551	837	new_strain
539647.0	1578	1598	new_strain
304047.0	816	817	new_strain
4449518.0	239759	679935	new_strain
denovo193.0	239759	742725	new_strain
denovo1684.0	171551	1321821	new_strain
1108078.0	165812	1123281	new_strain
4355314.0	12916	397945	new_strain
228730.0	171551	837	new_strain
228730.1	171551	1403336	new_strain
denovo3874.0	186828	140314	new_strain
192777.0	186803	665937	new_strain
269546.0	1649459	742737	new_strain
denovo3940.1	838	1203550	new_strain
denovo12477.1	375288	1834200	new_strain
denovo12477.0	375288	999416	new_strain
denovo11841.0	816	483216	new_strain
denovo4139.0	375288	28112	new_strain
denovo883.0	838	28131	new_strain
4449524.0	838	563008	new_strain
denovo6615.1	186803	1121114	new_strain
denovo6615.0	186803	1520827	new_strain
521982.1	239759	1118061	new_strain
521982.0	239759	717959	new_strain
276236.0	174708	1050201	new_strain
839152.0	1350	1157383	new_strain
269058.0	1578	47715	new_strain
denovo8701.0	375288	1122931	new_strain
denovo3940.0	838	28131	new_strain
339329.0	186803	861454	new_strain
denovo2276.0	186803	997896	new_strain
denovo2276.1	186803	1280685	new_strain
260679.0	186803	411460	new_strain
denovo12370.0	838	28131	new_strain
276629.0	171551	837	new_strain
816702.0	547	90370	new_strain
170328.1	128827	545696	new_strain
170328.0	128827	658657	new_strain
denovo3637.0	239934	1574265	new_strain
denovo9737.0	171551	1855397	new_strain
denovo2333.0	186803	397291	new_strain
289315.0	186803	999409	new_strain
289315.1	186803	1200749	new_strain
258485.0	171551	837	new_strain
258485.1	171551	837	new_strain
999986.0	838	28131	new_strain
denovo3271.0	186803	1520805	new_strain
328617.0	816	1321819	new_strain
denovo516.0	1263	1121344	new_strain
denovo13042.0	191303	1712675	new_strain
827195.0	65402	1120920	new_strain
4480176.0	541000	1200751	new_strain
176850.0	186803	887325	new_strain
827592.1	541000	1121335	new_strain
288521.0	1578	1599	new_strain
3997242.0	816	246787	new_strain
denovo10721.0	171551	879243	new_strain
1111580.0	596767	474960	new_strain
269828.0	186803	796944	new_strain
1995182.0	1578	1579	new_strain
denovo902.0	541000	1336236	new_strain
